,Number of Dependents,Under 30,Gender,Age,Married,Senior Citizen,Dependents,Satisfaction Score,Churn Category
161,0.0,0.0,1.0,73.0,0.5,1.0,0.0,,2
162,0.0,0.0,0.0,72.0,0.0,0.0,0.0,3.0,5
163,0.0,0.0,0.0,68.0,1.0,1.0,0.0,1.0,3
164,0.0,0.3333333333333333,0.0,74.0,0.3333333333333333,0.16666666666666666,0.0,3.0,3
165,0.0,0.0,0.6666666666666666,71.0,1.0,1.0,0.0,,3
166,0.0,0.0,0.0,66.0,1.0,1.0,0.0,1.0,1
167,0.0,0.0,1.0,76.0,0.0,1.0,0.0,1.0,2
168,0.0,0.0,1.0,78.0,0.0,1.0,0.0,,3
169,0.0,0.0,1.0,71.16666666666667,0.0,1.0,0.0,1.0,2
170,0.0,0.0,0.5,71.0,0.0,1.0,0.0,3.0,5
171,0.3333333333333333,0.16666666666666666,0.0,76.0,1.0,1.0,0.0,1.0,1
172,0.0,0.0,0.0,75.0,0.0,1.0,0.0,1.0,1
173,0.0,0.0,1.0,77.0,1.0,1.0,0.0,1.0,3
174,0.0,0.0,0.0,80.0,0.0,1.0,0.0,3.0,4
175,0.0,0.0,1.0,68.0,0.0,1.0,0.0,1.0,4
176,0.0,0.0,0.5,65.0,0.0,1.0,0.0,3.0,5
177,0.0,0.0,0.0,70.0,0.0,1.0,0.0,,1
178,0.0,0.0,0.8333333333333334,70.0,0.6666666666666666,1.0,0.0,,1
179,0.0,0.0,1.0,75.0,0.0,1.0,0.0,1.0,1
180,0.0,0.0,1.0,71.0,1.0,1.0,0.0,1.0,1
181,0.0,0.16666666666666666,0.0,79.0,0.8333333333333334,1.0,0.0,,2
182,0.0,0.0,0.0,73.0,1.0,1.0,0.0,1.0,2
183,0.0,0.0,0.0,73.66666666666667,1.0,1.0,0.0,1.0,2
184,0.0,0.0,0.0,80.0,1.0,1.0,0.0,2.0,2
185,0.0,0.0,1.0,73.0,0.5,1.0,0.0,1.0,1
186,0.0,0.0,0.0,79.0,0.0,1.0,0.0,3.0,1
187,0.0,0.0,0.6666666666666666,75.0,0.3333333333333333,1.0,0.0,3.0,1
188,0.0,0.0,1.0,70.0,0.0,1.0,0.0,,1
189,0.0,0.0,0.0,61.166666666666664,0.0,1.0,0.0,1.0,5
190,0.0,0.0,0.0,77.0,1.0,0.16666666666666666,0.0,1.0,1
191,0.0,0.0,1.0,67.0,0.0,1.0,0.0,,4
192,0.0,0.0,0.3333333333333333,69.83333333333333,1.0,1.0,0.0,2.0,2
193,0.0,0.0,0.6666666666666666,66.0,0.0,1.0,0.0,1.0,1
194,0.0,0.0,1.0,80.0,0.0,1.0,0.0,,3
195,0.0,0.0,0.0,69.0,1.0,1.0,0.0,1.0,1
196,0.0,0.0,1.0,68.0,1.0,1.0,0.0,3.0,1
197,0.0,0.0,0.8333333333333334,70.0,0.6666666666666666,1.0,0.0,1.0,2
198,0.0,0.0,0.0,65.0,1.0,1.0,0.16666666666666666,3.0,4
199,0.0,0.0,0.0,72.0,0.0,1.0,0.0,1.0,3
200,0.0,0.0,0.6666666666666666,70.0,0.0,0.16666666666666666,0.0,,3
201,0.0,0.0,0.0,80.0,1.0,1.0,0.0,3.0,3
202,0.0,0.0,0.6666666666666666,73.0,0.0,1.0,0.0,2.0,3
203,0.0,0.0,0.0,79.0,1.0,1.0,0.0,1.0,1
204,0.0,0.0,0.0,73.0,1.0,1.0,0.0,1.0,1
205,0.0,0.0,0.0,68.0,0.6666666666666666,1.0,0.0,1.0,3
206,0.0,0.0,0.0,70.0,0.0,1.0,0.0,3.0,3
207,0.0,0.0,0.0,68.0,0.0,1.0,0.0,1.0,1
208,0.0,0.0,0.0,76.0,0.0,1.0,0.0,1.0,3
209,0.0,0.0,1.0,68.0,0.0,1.0,0.0,3.0,3
210,0.0,0.0,1.0,80.0,1.0,1.0,0.0,,1
211,0.0,0.0,1.0,79.0,0.0,1.0,0.0,2.0,3
212,0.0,0.0,1.0,78.0,0.5,1.0,0.0,2.0,3
213,0.0,0.0,0.5,76.0,1.0,1.0,0.0,2.0,3
214,0.0,0.0,1.0,78.0,1.0,1.0,0.0,1.0,2
215,0.0,0.0,1.0,68.0,0.0,1.0,0.0,,3
216,0.0,0.0,0.0,73.0,0.6666666666666666,1.0,0.0,2.0,2
217,0.0,0.0,1.0,70.0,1.0,1.0,0.0,1.0,1
218,0.0,0.0,1.0,63.0,1.0,1.0,0.0,1.0,1
219,0.0,0.0,1.0,65.5,0.6666666666666666,1.0,0.0,,1
220,0.0,0.0,1.0,66.0,1.0,1.0,0.0,1.0,1
221,0.0,0.0,1.0,68.0,1.0,1.0,0.0,1.0,2
222,0.0,0.0,0.0,77.0,1.0,1.0,0.0,2.0,5
223,0.0,0.0,0.0,78.0,0.0,1.0,0.0,2.0,1
224,0.0,0.0,1.0,69.0,1.0,1.0,0.0,,1
225,0.0,0.0,1.0,77.0,0.5,1.0,0.0,1.0,3
226,0.0,0.16666666666666666,0.0,79.0,0.0,1.0,0.0,3.0,3
227,0.0,0.0,0.5,72.0,0.0,1.0,0.0,1.0,1
228,0.0,0.16666666666666666,0.5,75.0,0.0,1.0,0.0,2.0,1
229,0.0,0.16666666666666666,0.5,66.0,1.0,1.0,0.0,1.0,2
230,0.0,0.0,1.0,70.0,0.0,1.0,0.0,1.0,5
231,0.0,0.3333333333333333,0.0,69.0,1.0,1.0,0.0,1.0,1
232,0.0,0.0,1.0,79.0,0.0,0.3333333333333333,0.0,,1
233,0.0,0.0,1.0,65.5,0.6666666666666666,1.0,0.0,,3
234,0.0,0.0,0.0,79.0,0.0,1.0,0.0,2.0,1
235,0.0,0.0,1.0,80.0,0.0,1.0,0.0,3.0,1
236,0.0,0.0,1.0,65.0,0.0,1.0,0.0,2.0,1
237,0.0,0.0,0.0,78.0,1.0,1.0,0.0,,4
238,0.0,0.0,1.0,73.0,0.5,1.0,0.0,1.0,2
239,0.0,0.0,0.0,80.0,0.0,1.0,0.0,1.0,4
240,0.0,0.0,0.0,65.0,0.16666666666666666,1.0,0.0,,4
241,0.0,0.0,0.0,71.0,0.0,1.0,0.0,2.0,2
242,0.0,0.0,1.0,74.0,1.0,1.0,0.0,1.0,1
243,0.0,0.0,1.0,76.0,1.0,1.0,0.0,2.0,1
244,0.0,0.0,1.0,73.0,0.0,1.0,0.0,2.0,4
245,0.0,0.0,1.0,76.0,1.0,1.0,0.0,,2
246,0.0,0.0,0.0,69.0,0.0,1.0,0.0,,5
247,0.0,0.0,0.0,80.0,0.0,1.0,0.0,3.0,3
248,0.0,0.0,1.0,71.0,1.0,1.0,0.0,2.0,3
249,0.0,0.0,1.0,73.0,1.0,1.0,0.0,,1
250,0.0,0.0,0.0,79.0,0.6666666666666666,1.0,0.0,2.0,3
251,0.0,0.0,1.0,69.0,0.3333333333333333,1.0,0.0,1.0,1
252,0.0,0.0,0.0,79.0,0.6666666666666666,1.0,0.0,,1
253,0.0,0.0,1.0,79.0,0.0,1.0,0.0,,1
254,0.0,0.0,1.0,75.0,1.0,1.0,0.0,2.0,1
255,0.0,0.0,1.0,79.0,1.0,0.5,0.0,5.0,0
256,0.0,0.0,0.0,65.0,1.0,1.0,0.0,4.0,0
257,0.0,0.0,0.5,72.0,1.0,0.5,0.0,3.0,0
258,0.0,0.0,1.0,77.0,0.5,1.0,0.0,,0
259,0.0,0.0,1.0,71.0,1.0,1.0,0.0,4.0,0
260,0.0,0.0,0.0,73.0,0.0,0.16666666666666666,0.0,,0
261,0.0,0.0,0.16666666666666666,80.0,0.0,0.3333333333333333,0.0,4.0,0
262,0.0,0.0,0.6666666666666666,73.0,0.0,1.0,0.0,,0
263,0.0,0.0,0.0,71.0,1.0,1.0,0.0,,0
264,0.0,0.0,1.0,66.0,1.0,1.0,0.0,3.0,0
265,0.0,0.0,0.0,68.0,0.0,1.0,0.0,4.0,0
266,0.0,0.0,1.0,70.0,0.0,1.0,0.0,,0
267,0.0,0.0,0.0,69.0,1.0,1.0,0.0,3.0,0
268,0.0,0.0,0.5,67.0,0.0,1.0,0.0,3.0,0
269,0.0,0.0,1.0,68.0,0.5,1.0,0.0,3.0,0
270,0.0,0.0,1.0,79.0,1.0,1.0,0.0,4.0,0
271,1.0,0.0,1.0,71.0,1.0,1.0,1.0,,0
272,0.0,0.0,0.6666666666666666,75.66666666666667,0.6666666666666666,1.0,0.0,,0
273,1.1666666666666667,0.6666666666666666,0.5,30.333333333333332,1.0,0.0,1.0,5.0,0
274,0.0,0.0,0.0,69.0,0.0,1.0,0.0,5.0,0
275,0.0,0.0,0.0,73.0,0.0,1.0,0.0,3.0,0
276,0.0,0.0,0.0,76.0,1.0,1.0,0.0,4.0,0
277,0.0,0.0,0.16666666666666666,74.0,0.0,1.0,0.0,4.0,0
278,0.0,0.0,0.0,76.0,0.0,0.0,0.0,3.0,0
279,0.0,0.0,0.6666666666666666,66.0,1.0,1.0,0.0,,0
280,0.0,0.16666666666666666,1.0,78.0,1.0,0.16666666666666666,0.0,3.0,0
281,0.0,0.0,0.0,58.5,1.0,1.0,0.0,4.0,0
282,0.0,0.0,1.0,77.0,1.0,1.0,0.0,5.0,0
283,1.0,0.0,1.0,80.0,0.8333333333333334,1.0,1.0,5.0,0
284,0.0,0.0,1.0,80.0,1.0,1.0,0.0,,0
285,0.0,0.0,0.0,76.0,1.0,1.0,0.0,4.0,0
286,0.0,0.0,0.8333333333333334,68.0,1.0,1.0,0.0,3.0,0
287,0.0,0.0,0.8333333333333334,71.0,0.0,0.5,0.0,3.0,0
288,0.0,0.0,0.0,69.0,0.0,0.0,0.0,3.0,0
289,0.0,0.0,0.6666666666666666,72.0,0.0,1.0,0.0,5.0,0
290,0.0,0.0,0.0,70.0,0.0,0.3333333333333333,0.0,4.0,0
291,0.0,0.0,1.0,65.66666666666667,0.0,1.0,0.0,3.0,0
292,1.0,0.0,0.8333333333333334,72.0,1.0,1.0,1.0,3.0,0
293,0.0,0.0,1.0,76.0,0.5,1.0,0.0,,0
294,0.0,0.0,1.0,70.0,1.0,1.0,0.0,4.0,0
295,0.0,0.0,1.0,66.0,0.0,1.0,0.0,4.0,0
296,0.0,0.3333333333333333,0.0,69.0,1.0,1.0,0.0,5.0,0
297,0.0,0.0,0.0,74.0,0.0,0.16666666666666666,0.0,,0
298,0.0,0.0,0.0,72.0,1.0,1.0,0.0,,0
299,3.0,0.0,1.0,70.0,1.0,1.0,1.0,3.0,0
300,0.0,0.0,1.0,65.0,0.0,1.0,0.0,5.0,0
301,0.0,0.0,0.0,66.0,0.0,1.0,0.0,3.0,0
302,0.0,0.0,0.0,67.0,0.0,1.0,0.0,4.0,0
303,0.0,0.16666666666666666,0.8333333333333334,77.0,0.0,1.0,0.0,4.0,0
304,1.0,0.0,0.0,66.0,1.0,1.0,1.0,5.0,0
305,0.0,0.0,0.0,80.0,0.0,1.0,0.0,3.0,0
306,0.0,0.0,0.0,67.0,0.8333333333333334,1.0,0.0,4.0,0
307,0.0,0.0,0.0,69.0,1.0,1.0,0.0,,0
308,0.0,0.0,0.0,80.0,1.0,1.0,0.0,3.0,0
309,0.0,0.16666666666666666,1.0,68.0,0.0,1.0,0.0,4.0,0
310,0.0,0.0,0.0,71.0,0.5,1.0,0.0,,0
311,0.0,0.0,1.0,74.0,1.0,1.0,0.0,5.0,0
312,0.0,0.0,0.0,69.0,0.5,1.0,0.0,3.0,0
313,1.0,0.0,1.0,58.833333333333336,1.0,1.0,1.0,5.0,0
314,0.0,0.0,0.0,65.0,1.0,1.0,0.0,,0
315,0.0,0.0,0.0,72.0,1.0,1.0,0.0,3.0,0
316,2.0,1.4999955000135e-06,0.0,77.0,1.0,1.0,1.0,3.0,0
317,0.0,0.0,1.0,71.0,1.0,1.0,0.0,3.0,0
318,0.0,0.0,1.0,65.33333333333333,1.0,1.0,0.0,,0
319,0.0,0.0,0.0,67.0,0.0,1.0,0.0,3.0,0
320,0.0,0.0,0.0,66.0,0.0,1.0,0.0,4.0,0
321,0.0,0.0,1.0,75.0,1.0,1.0,0.0,4.0,0
322,0.0,0.0,1.0,75.0,1.0,1.0,0.0,3.0,0
323,0.0,0.0,0.0,71.0,0.0,1.0,0.0,5.0,0
324,0.3333333333333333,0.0,1.0,66.0,1.0,1.0,0.0,,0
325,0.0,0.0,0.0,69.0,0.0,1.0,0.0,3.0,0
326,0.0,0.0,1.0,69.0,0.0,1.0,0.0,5.0,0
327,0.0,0.0,0.0,66.0,1.0,1.0,0.0,3.0,0
328,0.0,0.16666666666666666,0.0,67.0,0.0,1.0,0.0,3.0,0
329,0.0,0.0,1.0,69.0,0.0,0.6666666666666666,0.0,3.0,0
330,0.0,0.0,0.0,73.0,1.0,1.0,0.0,4.0,0
331,0.0,0.0,0.0,74.0,0.0,1.0,0.0,4.0,0
332,0.0,0.0,0.0,70.0,1.0,1.0,0.0,4.0,0
333,0.0,0.0,0.3333333333333333,79.0,1.0,0.6666666666666666,0.0,3.0,0
334,0.0,0.0,1.0,68.0,1.0,0.3333333333333333,0.0,,0
335,0.0,0.0,1.0,75.0,0.0,1.0,0.0,3.0,0
336,0.0,0.0,0.0,67.0,0.8333333333333334,1.0,0.0,,0
337,2.0,0.0,1.0,67.0,1.0,1.0,1.0,,0
338,0.0,0.0,1.0,79.0,0.5,1.0,0.0,,0
339,0.0,0.0,0.0,68.0,1.0,1.0,0.0,4.0,0
340,0.0,0.0,0.5,76.0,0.0,1.0,0.0,3.0,0
341,2.0,0.0,1.0,80.0,1.0,1.0,1.0,5.0,0
342,0.0,0.16666666666666666,1.0,75.0,0.3333333333333333,1.0,0.0,,0
343,0.0,0.16666666666666666,0.0,70.0,0.16666666666666666,0.16666666666666666,0.0,4.0,0
344,0.0,0.0,1.0,67.0,0.0,1.0,0.0,,0
345,0.0,0.0,1.0,77.0,1.0,1.0,0.0,5.0,0
346,0.0,0.0,1.0,69.0,0.0,0.16666666666666666,0.0,5.0,0
347,0.0,0.0,0.0,78.0,1.0,1.0,0.0,3.0,0
348,0.0,0.0,0.0,78.0,0.0,1.0,0.0,,0
349,0.0,0.0,0.8333333333333334,71.0,0.3333333333333333,1.0,0.0,4.0,0
350,0.0,0.0,1.0,72.0,0.0,1.0,0.0,3.0,0
351,0.0,0.0,0.0,70.0,1.0,1.0,0.0,3.0,0
352,0.0,0.0,1.0,74.0,0.0,1.0,0.0,5.0,0
353,0.0,0.0,0.0,65.0,0.0,1.0,0.0,3.0,0
354,0.0,0.0,1.0,76.0,1.0,0.3333333333333333,0.0,,0
355,0.0,0.0,0.6666666666666666,73.0,0.0,1.0,0.0,4.0,0
356,0.0,0.0,0.0,71.0,1.0,1.0,0.0,3.0,0
357,0.0,0.0,1.0,57.833333333333336,1.0,0.16666666666666666,0.0,,0
358,0.0,0.0,1.0,71.0,0.16666666666666666,0.6666666666666666,0.0,3.0,0
359,0.0,0.0,0.0,73.0,0.16666666666666666,1.0,0.0,4.0,0
360,0.0,0.0,1.0,78.0,0.0,1.0,0.0,,0
361,0.0,0.0,1.0,73.0,1.0,1.0,0.0,3.0,0
362,0.0,0.0,0.6666666666666666,79.0,1.0,1.0,0.0,3.0,0
363,0.0,0.0,0.0,72.0,0.0,0.0,0.0,3.0,0
364,0.0,0.0,0.0,75.0,1.0,1.0,0.0,4.0,0
365,0.0,0.0,0.5,78.0,1.0,1.0,0.0,5.0,0
366,0.0,0.0,1.0,73.0,0.5,1.0,0.0,3.0,0
367,3.0,0.4999950000499995,0.0,79.0,0.6666666666666666,1.0,1.0,3.0,0
368,0.0,0.0,1.0,69.0,1.0,1.0,0.0,4.0,0
369,0.0,0.0,0.0,67.0,1.0,1.0,0.0,,0
370,0.0,0.0,1.0,65.0,1.0,1.0,0.0,,0
371,0.0,0.0,0.0,67.0,1.0,1.0,0.0,3.0,0
372,0.0,0.0,1.0,72.0,0.0,1.0,0.0,3.0,0
